Ecological Site Name,Ecological Site ID,Forb,Grass,Shrub,Tree,Total,Artemisia tridentata (includes ssp. wyomingensis),Artemisia tridentata ssp. vaseyana ,Artemisia tridentata ssp. tridentata ,Coleogyne ramosissima,Quercus gambelii,Pinus edulis and Pinus monophyla,Juniperus spp.*,Populus tremuloides,Pinus ponderosa,Sarcobatus vermiculatus,Atriplex spp.**,Atriplex confertifolia,Sporobolus airoides,C3 Perennial Grasses,C4 Perennial Grasses,Strawman Soil Geomorphic Unit,Final Soil Geomorphic Unit,Climate Zone,Ecological Site Group
Loamy Foothills,R036XY284CO,125,675,350,0,1150,200,0,0,0,8,0,0,0,0,0,0,0,0,948,15,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Stony Foothills,R036XY287CO,65,325,100,110,600,60,0,0,0,25,75,75,0,0,0,0,0,0,270,53,DeepRocky,DeepRocky,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Clayey Foothills,R036XY289CO,68,548,285,0,900,158,0,0,0,0,0,0,0,0,0,0,0,0,536,0,VerticUplands,ClayUplands,Semiarid_Warm,Semiarid_Warm_ClayUplands
Upland Loam (Big Sagebrush),R036XY306UT,50,650,350,0,1050,125,0,125,0,0,0,0,0,0,0,0,20,0,230,90,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Upland Loam (Pinyon/Utah Juniper),R036XY307UT,53,450,225,300,1028,35,0,35,0,0,150,150,0,0,0,0,0,0,278,128,FinerUplands,SandyUplands,Semiarid_Warm,Semiarid_Warm_SandyUplands_LoamyUplands
Upland Shallow Loam (Pinyon/Utah Juniper),R036XY315UT,25,63,250,150,488,8,0,0,0,0,156,125,0,0,0,0,0,0,30,30,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
Upland Shallow Loam (Littleleaf Mountain Mahogany),R036XY316UT,125,100,250,100,575,0,0,0,0,0,55,45,0,0,0,0,0,0,73,35,Shallow,VeryShallow,Semiarid_Warm,Semiarid_Warm_VeryShallow
Semidesert Loam,R036XY325CO,60,360,180,0,600,150,0,0,0,0,0,0,0,0,0,0,8,0,141,177,FinerUplands,FinerUplands,Semiarid_Warm,Semiarid_Warm_FinerUplands
Upland Very Steep Stony Loam  (Pinyon/Utah Juniper) ,R036XY328UT,50,250,150,200,650,0,0,0,0,0,108,108,0,0,0,0,0,0,33,8,DeepRocky,Breaks,Semiarid_Warm,Semiarid_Warm_Breaks
Loamy Bottom,R036XY405CO,203,810,338,0,1350,0,0,213,0,50,0,0,0,0,13,0,0,25,863,88,Bottoms,Bottoms,Semiarid_Warm,Semiarid_Warm_SandyBottoms_Bottoms
Steep Colluvial Slopes,R036XY445CO,50,150,125,175,500,40,0,0,0,10,113,113,0,0,0,0,0,0,248,60,Shallow,Shallow,Semiarid_Warm,Semiarid_Warm_Shallow_DeepRocky
